JUNHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECEITAS; R$ 1.544,49 ;;;SAÍDAS;; R$ -   ;;;INVESTIMENTOS;; R$ 68.605,71 ;;;;SALDO;; R$ 1.544,49 ;;;À PAGAR;; R$ 3.837,06 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total Gastos Fixos;;;; R$ 2.058,60 ;;;Total Gastos do Mês;;;; R$ -   ;;;Total Fatura Cartão de Crédito (Mês);;;; R$ 773,72 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entradas;;;Gastos Fixos;;;;;;;Gastos do mês;;;;;;;Parcelas Cartão de Crédito;;;;;;;;;;;;;;;;;;;;
; R$ 1.544,49 ;;Nome ;Pgo?;Data de Venc;Banco;Categoria;Valor;;Nome ;Data;Banco;Tipo;Categoria;Valor;;Nome;Faturas à pagar;Data;Banco;Categoria;Valor;Falta Pagar;;;;;;;;;;;;;;
;;;APPLE TV;FALSO;25/06/2025;;Assinaturas; R$ 10,00 ;;;;;;;;;EBAC;8;jun/25;;; R$ 322,08 ; R$ 2.576,64 ;;;;;;;;;;;;;;
;;;AMAZON;FALSO;25/06/2025;;Assinaturas; R$ 20,00 ;;;;;;;;;MEGA;3;jun/25;;; R$ 357,14 ; R$ 1.071,42 ;;;;;;;;;;;;;;
;;;SPOTIFY;FALSO;25/06/2025;;Assinaturas; R$ 21,90 ;;;;;;;;;SKATE;2;jun/25;;; R$ 94,50 ; R$ 189,00 ;;;;;;;;;;;;;;
;;;ACADEMIA;FALSO;25/06/2025;;Saúde; R$ 85,90 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MERCADO;FALSO;18/06/2025;;Mercado; R$ 600,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saídas;;;SERGIO P.;FALSO;01/06/2025;;Saúde; R$ 640,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mercado;;;ADEMICON;FALSO;16/06/2025;;Contas; R$ 680,80 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transporte;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ifood/Restaurantes; R$ -   ;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lazer;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Necessidades;;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Despesas Eventuais; R$ -   ;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assinaturas;;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Contas;;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roupas; R$ -   ;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saúde;;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presentes; R$ -   ;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cursos; R$ -   ;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livros; R$ -   ;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eletrônicos; R$ -   ;;; FALSO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beleza; R$ -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Investimentos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XP; R$ 68.605,71 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USD/BRL; R$ 5,73 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USD/BRL;1064,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
